,AG_RTD_TEMP_GLASS_START,AG_RTD_TEMP_GLASS_END,AG_RTD_TEMP_WALL_START,AG_RTD_TEMP_WALL_MAX,AG_RTD_PRES_START,AG_RTD_PRES_END,AG_RTD_TEMP_GLASS_OUT,AG_RTD_TEMP_HOOD_START,BUS_DEVELOP_TEMP_OVEN1,BUS_DEVELOP_TEMP_OVEN2,BUS_DEVELOP_TEMP_OVEN3,BUS_DEVELOP_TEMP_TANK1,BUS_DEVELOP_PH_TANK1.1,BUS_DEVELOP_TEMP_TANK2,BUS_DEVELOP_PH_TANK1.2,BUS_DEVELOP_TEMP_TANK3,BUS_DEVELOP_PRES2,BUS_DEVELOP_PRES3,PHOS_G_DRY_TEMP_GLASS_START,PHOS_G_DRY_TEMP_GLASS_END,PHOS_G_DRY_TEMP_WALL_START,PHOS_G_DRY_PRES_START,PHOS_G_DRY_PRES_END,PHOS_G_DRY_TEMP_GLASS_OUT,PHOS_G_DRY_TEMP_HOOD_MAX,PHOS_FIRE_TEMP_HEAT_CH01,PHOS_FIRE_TEMP_HEAT_CH02,PHOS_FIRE_TEMP_HEAT_CH03,PHOS_FIRE_TEMP_HEAT_CH04,PHOS_FIRE_TEMP_KEEP_CH01,PHOS_FIRE_TEMP_KEEP_CH02,PHOS_FIRE_TEMP_KEEP_CH03,PHOS_FIRE_TEMP_KEEP_CH04,PHOS_FIRE_TEMP_ANEAL_CH01,PHOS_FIRE_TEMP_ANEAL_CH03,PHOS_FIRE_TEMP_ANEAL_CH04,PHOS_FIRE_EXHAUST_HEAT1,PHOS_FIRE_EXHAUST_HEAT2,PHOS_FIRE_EXHAUST_HEAT3,PHOS_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_TEMP_HEAT1_CH01,DIELEC_FIRE_TEMP_HEAT1_CH02,DIELEC_FIRE_TEMP_HEAT1_CH03,DIELEC_FIRE_TEMP_HEAT2_CH01,DIELEC_FIRE_TEMP_HEAT2_CH02,DIELEC_FIRE_TEMP_HEAT2_CH03,DIELEC_FIRE_TEMP_KEEP_CH01,DIELEC_FIRE_TEMP_KEEP_CH03,DIELEC_FIRE_TEMP_ANEAL_CH01,DIELEC_FIRE_TEMP_ANEAL_CH03,DIELEC_FIRE_EXHAUST_HEAT1,DIELEC_FIRE_EXHAUST_HEAT2,DIELEC_FIRE_EXHAUST_HEAT4,DIELEC_FIRE_EXHAUST_HEAT5,DIELEC_FIRE_EXHAUST_HEAT6,DIELEC_FIRE_EXHAUST_HEAT7,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID,MC_2AG_2RTD,MC_3BUS_1DEVELOP,MC_6PHOS_2G_2DRY,MC_6PHOS_4FIRE,MC_4DIELEC_1FIRE,LOT_ID,PANEL_ID
0,46.0,138.0,76.0,102.0,321.0,434.0,41.3,92.0,60.2528,61.7962,60.5415,23.4962,9.1997,30.7528,6.5481,34.3047,2.0301,2.0523,47.2,139.2,111.0,55.9,28.2,32.4,84.0,392.0,404.0,419.0,439.0,482.0,481.0,480.0,475.0,443.0,392.0,372.0,4115.0,3973.0,4432.0,2506.0,296.0,342.0,349.0,455.0,453.0,474.0,569.0,582.0,570.0,534.0,2017.0,2200.0,3639.0,3283.0,3148.0,3215.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-01,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-01,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-01
1,46.0,139.0,77.9,101.0,398.8,339.8,45.4,93.0,61.5281,60.2281,63.1393,23.4202,9.2,30.8,6.55,35.3,2.0322,2.01,46.5,138.8,106.0,59.8,28.1,32.9,81.8,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,445.0,395.0,374.0,3642.0,4097.0,4499.0,2573.0,296.0,342.0,349.0,454.0,453.0,473.0,573.0,582.0,575.0,536.0,2166.0,2132.0,3331.0,3971.0,3030.0,2960.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-02,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-02,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-02
2,45.0,138.0,77.0,102.0,358.0,347.0,43.6,93.0,61.4151,63.7957,63.5,23.1387,9.1997,30.6935,6.5489,33.0151,2.0328,2.0611,46.9,139.0,108.4,48.5,30.3,29.4,82.2,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,444.0,393.0,372.0,4063.0,3972.0,4460.0,2502.0,296.0,342.0,349.0,454.0,453.0,473.0,568.0,582.0,570.0,535.0,1984.0,2178.0,3484.0,3324.0,3182.0,3123.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-03,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-03,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-03
3,46.1,138.0,77.8,101.1,356.4,438.1,45.5,93.0,61.4455,60.8,64.2202,23.3758,9.1994,30.6909,6.5503,32.7596,2.03,2.0619,46.2,140.2,112.6,55.1,32.1,34.7,84.0,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,444.0,393.0,372.0,4131.0,4011.0,4466.0,2522.0,296.0,342.0,349.0,454.0,453.0,473.0,569.0,582.0,571.0,533.0,2024.0,2220.0,3574.0,3306.0,3338.0,3168.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-04,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-04,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-04
4,47.0,138.0,77.8,101.4,327.8,398.4,45.7,92.0,60.26,61.6011,60.5579,23.3579,9.1994,31.0316,6.5487,33.8674,2.0321,2.06,47.0,139.2,103.2,55.8,29.8,32.8,82.0,393.0,404.0,419.0,439.0,480.0,480.0,480.0,475.0,443.0,392.0,372.0,3632.0,4073.0,4482.0,2584.0,297.0,342.0,349.0,454.0,452.0,473.0,575.0,581.0,572.0,533.0,2163.0,2128.0,3269.0,3900.0,3037.0,2949.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-05,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-05,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-05
5,46.0,137.0,76.0,101.0,329.0,371.0,40.6,93.0,59.857,60.0,60.5988,23.1977,9.1998,30.8233,6.5424,33.5326,2.0288,2.0129,46.1,138.9,107.5,54.3,29.3,29.1,81.9,392.0,404.0,420.0,439.0,481.0,481.0,480.0,475.0,442.0,390.0,370.0,3646.0,4066.0,4439.0,2573.0,296.0,342.0,349.0,454.0,453.0,473.0,572.0,582.0,577.0,535.0,2094.0,2130.0,3323.0,4243.0,3070.0,2876.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-06,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-06,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-06
6,45.3,138.0,77.0,101.0,319.4,393.4,46.0,92.0,61.3,62.3433,64.8,23.5,9.1997,31.3356,6.55,34.6533,2.0321,2.0612,48.4,141.0,111.2,54.6,25.9,36.5,85.0,394.0,407.0,421.0,441.0,480.0,480.0,480.0,475.0,442.0,390.0,369.0,3650.0,4064.0,4446.0,2594.0,298.0,345.0,349.0,454.0,452.0,472.0,574.0,582.0,577.0,537.0,2169.0,2344.0,3316.0,3775.0,3117.0,2969.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-07,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-07,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-07
7,45.3,138.0,77.0,101.0,319.4,393.4,46.0,92.0,61.3,62.3433,64.8,23.5,9.1997,31.3356,6.55,34.6533,2.0321,2.0612,48.3,141.0,112.0,58.3,32.1,35.3,85.0,393.0,405.0,420.0,440.0,480.0,480.0,480.0,475.0,443.0,390.0,369.0,4079.0,3980.0,4635.0,2501.0,298.0,345.0,349.0,454.0,452.0,472.0,574.0,582.0,577.0,537.0,2169.0,2344.0,3316.0,3775.0,3117.0,2969.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-08,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-08,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-08
8,45.7,138.0,77.0,101.3,337.8,365.3,45.6,92.0,60.5488,61.3643,62.4821,23.5,9.1993,31.3762,6.5511,34.9,2.0286,2.0580000000000003,48.5,141.0,111.9,56.0,26.7,36.4,85.0,394.0,406.0,421.0,440.0,480.0,481.0,481.0,475.0,445.0,393.0,371.0,4084.0,4029.0,4459.0,2534.0,296.0,344.0,349.0,454.0,453.0,473.0,568.0,581.0,574.0,533.0,2001.0,2208.0,3393.0,3338.0,3112.0,3235.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-09,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-09,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-09
9,47.1,138.0,78.9,101.9,405.6,321.7,44.9,92.1,61.2802,60.8,64.0333,23.4125,9.1995,30.7,6.5477,33.7948,2.0305,2.0618,47.1,138.9,108.3,59.2,30.3,32.8,82.4,393.0,405.0,419.0,439.0,480.0,480.0,480.0,475.0,443.0,391.0,370.0,3653.0,4063.0,4617.0,2590.0,295.0,340.0,348.0,455.0,452.0,472.0,569.0,581.0,575.0,532.0,2051.0,2151.0,3563.0,3336.0,3258.0,3205.0,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-10,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-10,1호기,1호기,2호기,3호기,3호기,LOT-101,PNL-10
